0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:14 +0530] "GET /On_Road_Assistance/Images/road.png HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:14 +0530] "GET /On_Road_Assistance/ HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:14 +0530] "GET /css/Style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:14 +0530] "GET /On_Road_Assistance/Images/road.png HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:21 +0530] "POST /On_Road_Assistance/login HTTP/1.1" 500 4014
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:51 +0530] "POST /On_Road_Assistance/login HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:51 +0530] "GET /On_Road_Assistance/Images/repair.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:51 +0530] "GET /On_Road_Assistance/Images/icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:51 +0530] "GET /On_Road_Assistance/Images/girl.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:54 +0530] "GET /On_Road_Assistance/customer/request HTTP/1.1" 200 5592
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:54 +0530] "GET /On_Road_Assistance/Images/bgvid.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:57 +0530] "GET /On_Road_Assistance/activeRequests HTTP/1.1" 200 13112
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:57 +0530] "GET /On_Road_Assistance/Images/delete.png HTTP/1.1" 200 7302
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:57 +0530] "GET /On_Road_Assistance/Images/route.png HTTP/1.1" 200 15739
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:30:38 +0530] "GET /On_Road_Assistance/customer/acceptedRequest/1265903? HTTP/1.1" 200 6392
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:30:38 +0530] "GET /On_Road_Assistance/Images/location.png HTTP/1.1" 200 36811
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:31:11 +0530] "GET /On_Road_Assistance/customer/request HTTP/1.1" 200 5592
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:31:24 +0530] "POST /On_Road_Assistance/customer/search HTTP/1.1" 500 5385
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:34:10 +0530] "GET /On_Road_Assistance/logout HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:34:10 +0530] "GET /css/Style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:34:10 +0530] "GET /On_Road_Assistance/Images/pic.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:34:12 +0530] "GET /On_Road_Assistance/registerCustomer HTTP/1.1" 200 4065
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:34:12 +0530] "GET /css/Regstyle.css HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:34:52 +0530] "POST /On_Road_Assistance/customer/registerCustomer HTTP/1.1" 200 4225
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:34:52 +0530] "GET /On_Road_Assistance/css/Regstyle.css HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:35:01 +0530] "POST /On_Road_Assistance/customer/registerCustomer HTTP/1.1" 200 4229
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:35:01 +0530] "GET /On_Road_Assistance/css/Regstyle.css HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:35:07 +0530] "POST /On_Road_Assistance/customer/registerCustomer HTTP/1.1" 200 3976
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:35:07 +0530] "GET /On_Road_Assistance/Images/icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:35:07 +0530] "GET /On_Road_Assistance/Images/repair.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:35:07 +0530] "GET /On_Road_Assistance/Images/boy.png HTTP/1.1" 200 16834
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:35:09 +0530] "GET /On_Road_Assistance/customer/request HTTP/1.1" 200 5592
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:35:09 +0530] "GET /On_Road_Assistance/Images/bgvid.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:35:29 +0530] "POST /On_Road_Assistance/customer/search HTTP/1.1" 500 5385
